0x800A178C  Data read error.
0x800A3EF0  *(SnowWalk:KyuKyu)
0x800A3F04  Sleep:Zzzz
0x800A3F10  Shout:Uaaaaa!
0x800A3F20  HandCrap:PachiPachi!
0x800A3F38  Flutter:BassaBassa
0x800A3F4C  DropSurfaceWalter:Basshaan!
0x800A3F68  DropWalter:Pichon!
0x800A3F7C  Creek:Chirochiro
0x800A3F90  Lion:Gaooon!
0x800A3FA0  Oul:Ho-uHo-u
0x800A3FB0  LittleBird:ChunChun
0x800A3FC4  Frog:Geroge-ro
0x800A3FD4  Seagull:Kue-Kue-
0x800A3FE8  Cock:Koke!
0x800A3FF4  Cat:Nya-
0x800A4000  Dog:One!
0x800A400C  DansaRakka:GataGata!
0x800A4024  WindowOpen:Boon
0x800A4034  Curtain:Syu
0x800A4040  Kibako:Giii
0x800A404C  SwitchChange:Kachi!
0x800A4060  *(DoorKnock:DonDon)
0x800A4074  DoorKnock:KonKon
0x800A4088  Berglandt:Basyuu!
0x800A409C  Berglandt:Hyuhyuhyu
0x800A40B0  Energy:BachiBachi
0x800A40C4  Short:BachiBachi
0x800A40D8  TrapCancel:Booon
0x800A40EC  Hatch:Gasyun!
0x800A40FC  Sindou:Gogogogogo
0x800A4110  Keikoku:Uiiiin
0x800A4120  Kaidan:Zazzazza
0x800A4130  Door:Batan
0x800A413C  Keikoku:Boo
0x800A4148  Defence:Kasu
0x800A4158  Thrust:Syu
0x800A4164  Swing:Bun
0x800A4170  HpRecovery:Kirakira
0x800A4184  StatusChange:Puwapuwa
0x800A419C  Enargy:Hyuuuu
0x800A41AC  lazer:biii-
0x800A41B8  Bow:hyun!
0x800A41C4  Storm:Bufou!
0x800A41D4  LightBelt:hyuiiiii
0x800A41E8  Walter:za-
0x800A41F4  CrushGlass:kacha-n
0x800A4208  RockAtack:Gan!
0x800A4218  ShaveG:Garigarigari!
0x800A4230  Lightning:Bachi
0x800A4240  Majinken:Jyuba!
0x800A4250  Majinken:BAshuu
0x800A4260  Ice:Pikiiin
0x800A426C  Wind:Fuuuu!
0x800A4278  Storm:Zaaaaaa
0x800A4288  Fire:Boaaa
0x800A4294  Explode:Don!Dogaaaaa!
0x800A42AC  Bomb3:Dogagagagaaaan!
0x800A42C4  Bomb2:Zugaan!
0x800A42D4  Bomb1:Boan!
0x800A42E0  Defence:Kiin
0x800A42F0  Blow2:Dosu
0x800A42FC  Blow1:Bishi
0x800A4308  Thrust2:Dobyushu!
0x800A431C  Thrust1:Doshu
0x800A432C  Swing2:Shubaba!
0x800A433C  Swing1:Zashu
0x800A434C  Decision
0x800A4358  MoveCursor
0x800A4364  BattleEnd
0x800A4370  Sound Test
0x800A476C  World map Graphic read error.
0x800A4E9C  \MOVIE\OP.STR;1
0x800A4EAC  \MOVIE\EVC.STR;1
0x800A4EC0  \MOVIE\EVB.STR;1
0x800A4ED4  \MOVIE\EVA.STR;1
0x800A4EE8  \MOVIE\NAMCO.STR;1
0x800A4EFC  \MOVIE\LOGO.STR;1
0x800A4F10  \DAT\M.DAT;1
0x800A4F20  \XA\S.XA;1
0x800A4F2C  \XA\T.XA;1
0x800A4F38  \DAT\V.DAT;1
0x800A4F48  \DAT\S.DAT;1
0x800A4F58  \DAT\E.DAT;1
0x800A4F68  KAISEN.BIN
0x800A4F74  \DAT\B.DAT;1
0x800A4FA4  \DEBUG.TXT;1
0x800A4FB4  \DAT\%s;1
0x800A4FC0  \PIC\%s.D;1
0x800AC91C  0123456789ABCDEF
0x800AC930  0123456789abcdef
0x800ACA18  MDEC_in_sync
0x800ACA28  MDEC_out_sync
0x800ACAAC  0123456789abcdef
0x800ACAC0  (null)
0x800ACAC8  0123456789ABCDEF
0x800ACCCC  0123456789ABCDEF
0x800ACE3C  $Id: sys.c,v 1.135 1997/09/02 13:37:26 noda Exp $
0x800ACF28  %s:bad RECT
0x800ACF4C  ClearImage
0x800ACF58  ClearImage2
0x800ACF64  LoadImage
0x800ACF70  StoreImage
0x800ACF7C  MoveImage
0x800AD018  GPU timeout:que=%d,stat=%08x,chcr=%08x,madr=%08x,
0x800AD04C  LoadImage2
0x800AD108  F3L 
0x800AD110  G3L 
0x800AD118  FT3L 
0x800AD120  GT3L 
0x800AD130  FT3 
0x800AD138  GT3 
0x800AD140  F4L 
0x800AD148  G4L 
0x800AD150  FT4L 
0x800AD158  GT4L 
0x800AD168  FT4 
0x800AD170  GT4 
0x800AD1FC  none
0x800AD20C  CdlReadS
0x800AD218  CdlSeekP
0x800AD224  CdlSeekL
0x800AD230  CdlGetTD
0x800AD23C  CdlGetTN
0x800AD248  CdlGetlocP
0x800AD254  CdlGetlocL
0x800AD264  CdlSetmode
0x800AD270  CdlSetfilter
0x800AD280  CdlDemute
0x800AD28C  CdlMute
0x800AD294  CdlReset
0x800AD2A0  CdlPause
0x800AD2AC  CdlStop
0x800AD2B4  CdlStandby
0x800AD2C0  CdlReadN
0x800AD2CC  CdlBackward
0x800AD2D8  CdlForward
0x800AD2E4  CdlPlay
0x800AD2EC  CdlSetloc
0x800AD2F8  CdlNop
0x800AD300  CdlSync
0x800AD308  DiskError
0x800AD314  DataEnd
0x800AD31C  Acknowledge
0x800AD328  Complete
0x800AD334  DataReady
0x800AD340  NoIntr
0x800AD348  CD timeout: 
0x800AD374  DiskError: 
0x800AD39C  CDROM: unknown intr
0x800AD3D0  CD_sync
0x800AD3D8  CD_ready
0x800AD3FC  CD_cw
0x800AD404  $Id: bios.c,v 1.86 1997/03/28 07:42:42 makoto Exp $
0x800AD438  CD_init:
0x800AD450  CD_datasync
0x800AD45C  <NULL>
0x800AD524  CD001
0x800AD6DC  $Id: intr.c,v 1.76 1997/02/12 12:45:05 makoto Exp $
0x800AD81C  wait (reset)
0x800AD82C  wait (wrdy H -> L)
0x800AD840  wait (dmaf clear/W)
0x800AD8AC  wait (IRQ/ON)
0x800AD8BC  wait (IRQ/OFF)
0x800ADBB2  b&! 
0x800ADE55  1B$L
0x800AE1BF  $!0f
0x800AE67E  E&! 
0x800AEC7F  $! @
0x800AEF07  $!(@
0x800AEF9F  $!(@
0x800AF013  $!(@
0x800AF107  $!0@
0x800AF187  $!0@
0x800AF667  $!(@
0x800AFA27  $!0@
0x800AFDC3  $! @
0x800AFE1B  $! @
0x800AFF7F  $!(@
0x800B002B  $!(@
0x800B00C3  $!(@
0x800B070C  gfc4
0x800B0E4D  ?B,D
0x800B15DF  $!(@
0x800B162F  $!(@
0x800B166F  $!(@
0x800B188F  $! @
0x800B2722  p&!(
0x800B329B  <+;B$0
0x800B3A31  :V$(
0x800B3B4B  <x;Q$
0x800B406F  '!8@
0x800B4086  p&!(
0x800B4132  p&!(
0x800B45A5  @b0B
0x800B4AEE  B$!h
0x800B5831   B07
0x800B5BE0  p@S$
0x800B6073  '!(`
0x800B7349  @b0F
0x800B7632  p2!0
0x800B791E  B$!0@
0x800B7996  B$!(@
0x800B80EF  $!(`
0x800B8CDE  C0! `
0x800B8D26  C0! `
0x800B8D7A  C0! `
0x800B8DC2  C0! `
0x800BB3BF  $! @
0x800BB723  $! @
0x800BBD9A  Q$! 
0x800BC7A9  @c4x
0x800BD331  @c4t
0x800BE8DD  `c4t
0x800C03C7  $!0@
0x800C10E9  @c4t
0x800C17B7  $!(@
0x800C40A3  <VUB4
0x800C40FD  `c4x
0x800C4A1D  @c$"
0x800C60D2  C%!P`
0x800C625B  $!0@
0x800C62B7  $!0@
0x800C635F  4!(C
0x800C64F3  $!0@
0x800C683F  '! b
0x800C690B  '! b
0x800C695B  4!(`
0x800C7906  02!@
0x800C7DD7  $! `
0x800C838F  $!(@
0x800C83FB  $!(@
0x800C996B  $!8@
0x800C9D31  >B$!@b
0x800C9EB3  $!8@
0x800C9FD6  B0! D
0x800CA6F5   B0@
0x800CB283  $!(`
0x800CB347  $!(`
0x800CCC72  B$! 
0x800CF49D  &S&(
0x800CFAC3  $!0@
0x800D0453  &!0@
0x800D1B7B  $! @
0x800D1C87  $! @
0x800D33F3  $! @
0x800D3E8B  $!0@
0x800D42FB  <DBB$E
0x800D4509  4B$E
0x800D45F5  4B$E
0x800D68A9  /c4 
0x800DA319  3B$D
0x800DA415  0B$f
0x800DA4A9  3B$D
0x800DAD5D  CB$$
0x800DB7CE  p&! 
0x800DBA7B  $! @
0x800DBB5D  (B$V
0x800DC769  3p&(
0x800DC99B  %!@@
0x800DCA06  c$! 
0x800DD125  ?B,,
0x800DD5C8   ET$
0x800DD5F0  |@s$
0x800DD6B5  ?B,=
0x800DDE74  |@c$$
0x800DE127  $! @
0x800DF1D3  $! @
0x800DF76F  %!H`
0x800DF8F7  $!(`
0x800DF9A3  $!H@
0x800DFA6F  $!H@
0x800E13A2  &&!8
0x800E1972  F&!8
0x800E28AF  $!H`
0x800E3987  $$Hb
0x800E43EA  B,! @
0x800E5897  '!0@
0x800E5B4D  ?B,^
0x800E5CF1  ?B,5
0x800E6865  %e&@&d&
0x800E68A7  $!8@
0x800E6F83  $!8`
0x800E726D  3B$<
0x800E7A2F  $!0@
0x800E8E4E  "&!0@
0x800E8E7A  R&!(
0x800E9233  &! @
0x800E927E  B$!(
0x800E9413  %!@@
0x800EA882  "%!H@
0x800EA967  $!8@
0x800EB1D3  $!(@
0x800EB4A7  $!(@
0x800EBABF  '#@b
0x800EBAD3  $!8`
0x800EBEC3  $! @
0x800EBF5B  $! @
0x800EBFFB  $! @
0x800EC2A9  ?B,q
0x800EC99A  c$! 
0x800ECE6D  ?B,z
0x800ECE7A  D&!0
0x800ED0C1  ?B,d
0x800ED1B6  $&!0
0x800ED45E  $&!0
0x800ED47E  $&!0
0x800ED712  $&!0
0x800ED732  $&!0
0x800ED752  $&!0
0x800ED9B1  ?B,}
0x800EED8F  '!(@
0x800EEF13  $#HC
0x800F0087  $! @
0x800F075B  0!@@
0x800F09AE  B$!(@
0x800F0B06  B$!(@
0x800F0E9F  $! @
0x800F17D1  JB$\
0x800F1986  d&!(
0x800F19C2  d&!(
0x800F1A05  JB$\
0x800F2DE3  $!(@
0x800F322E  B$!0`
0x800F327A  F0! 
0x800F375A  f$! 
0x800F4547  $!(`
0x800F899D  iB$0
0x800F8CF5  iP$0
0x800F912F  $! @
0x800FA072  c$! C
0x800FA78E  P&! 
0x800FA84A  P&! 
0x800FAAD9  KB$ 
0x800FAB8A  B$! b
0x800FB75D  lV$X
0x800FC716  f&! 
0x800FCD72  R&!(
0x800FD07B  '! D
0x800FD26E  f&! 
0x800FF0A2  G$!0`
0x800FF152  G$!0`
0x80102573  <!0@
0x8010262F  <!0@
0x80103369  1E$h
0x8010358E  P&! 
0x80103822  P&! 
0x80103F8E  J$!H`
0x801048A1  'B(f
0x80106127  $!0f
0x80106D02  P&! 
0x80107E94  tlR$,
0x80108821   B08
0x80108B4D   B0&
0x80108E75  KB$ 
0x801090B5  KB$ 
0x801092A9  KB$ 
0x80109A89   B0)
0x8010A943  4!(C
0x8010BCD2  P&! 
0x8010BDA2  0&! 
0x8010BE6A  0&! 
0x8010BFFE  B4! 
0x8010C886  %&! @
0x8010C9B2  P$! @
0x8010CA32  P$! @
0x8010DC81  1C$T
0x8010DF76  c$! 
0x8010DF92  s&!(
0x8010DFBA  s&!(
0x8010ED31  @b0(
0x8010ED4F  $! @
0x8010EDE8  VUB4
0x8010EF2C  VUB4
0x8010F1D1  1H$!0
0x8010F341   b0y
0x8010F52D  @b0?
0x801103A4  VUB4
0x801106C7  $! @
0x801106DB  $! @
0x801106EF  $! @
0x80110CD5  KB$ 
0x80110EF5   b0n
0x80112375  @B0Z
0x80112BED  @b0v
0x80113555   c0!
0x80114ABD  1R$`
0x8011679F  $! @
0x801167BF  $! @
0x80116A9B  $! @
0x80116ABB  $! @
0x80116CE2  0&! 
0x801175BD  @B0!
0x80117BC9  Jc$4
0x801182CA  %&! @
0x801183FA  P$! @
0x8011847E  P$! @
0x80118ADA  R&! 
0x80118AFA  R&! 
0x80118D7D  JB$4
0x80118E3D  KS$8
0x80118EDA  R&! 
0x80118EFA  R&! 
0x80118F42  R&! 
0x80118F62  R&! 
0x80118FD6  R&! 
0x80118FF6  R&! 
0x801192B1   b0*
0x80119401  PB0H
0x801199B5  JB$4
0x80119A75  KS$8
0x8011A049  PB0P
0x8011A1F2  P&! 
0x8011A866  %&! @
0x8011A946  P$! @
0x8011A9C6  P$! @
0x8011AB17  $! @
0x8011B415   B0"
0x8011B42E  B$!8@
0x8011B4C6  B$!8@
0x8011B6A9   B0'
0x8011B87A  c$!(
0x8011B941   B0"
0x8011B95A  B$!8@
0x8011B9F2  B$!8@
0x8011BB26  c$!(
0x8011BE5A  J$!H`
0x8011C289  @b0{
0x8011C89D  @b0L
0x8011CD8E  I$!@`
0x8011D50D  'B(}
0x8011D55D  'B(i
0x8011D5B1  'c(T
0x8011D661  'B((
0x8011DCCB  <!0`
0x8011ECAF  $! @
0x8011EF2B  $! b
0x8011F07C  l0B$"
0x8011F3DB  2! C
0x8011F447  $! b
0x8011F4AD  1B$`
0x801201E8  VUB4
0x801202BA  Q$! 
0x801202E5  @b0(
0x801202F8  VUB4
0x80120394  VUB4
0x8012047F  <VUB4! 
0x80120D49   B0 
0x801214A7  $! d
0x801218BB  $! `
0x80121967  $!@`
0x80121DE3  $!0@
0x80121EE6  #%!8C
0x8012320E  d$!0@
0x801233A6  c$! @
0x80123476  c$! @
0x80123C46  c$! @
0x8012436E  P$!(
0x801243B7  $!0`
0x801245AA  P$!(
0x801245F3  $!0`
0x801246CA  c$! @
0x801247D2  c$!0@
0x8012484E  c$! @
0x801248DE  d$!(@
0x801260E7  $!0`
0x8012816F  $#(b
0x80128292  "&!(
0x80128CFB  0!8@
0x80129C0F  $!(E
0x80129E97  $!8@
0x8012A42B  $!8@
0x8012B7F4  QFb(O
0x8012BA80  QFB(>
0x8012D235   B0)
0x8012D3FD   b0)
0x8012D44B  $! @
0x8012D642  R&! 
0x80131DE9  JC$^
0x80131E21  JC$^
0x80131E61  JC$\
0x80131EA1  JC$\
0x80131EE5  JB$\
0x801329F6  s6! @
0x80132A4F  $! @
0x80132AA3  $! @
0x80132AF7  $! @
0x80132B23  $! @
0x801331BF  $! @
0x801346BB  $! @
0x80134796  s&! @
0x8013487B  $! @
0x80134C23  $! @
0x80134D5A  P&! 
0x80135842  s&! @
0x80135912  R&!(
0x80135AFA  Q$! 
0x80135B1A  1&! 
0x80135B5F  $! @
0x80135B73  $! @
0x80135B9D  @b0<
0x8013689D  @B0 
0x80136959   B0^
0x801369ED   B0:
0x80136D2D  11&(
0x801370FA  B$!(
0x801372C5  1D$0
0x8013766F  $! `
0x80137EBD  &c$!8I
0x801384DF  $! `
0x8013958F  0! @
0x8013968B  0! @
0x8013973F  0! @
0x801397A7  0! @
0x8013983B  0! @
0x801398C7  0! @
0x8013A44F  0! @
0x8013B36E  c$! C
0x8013B5F6  B$! 
0x8013B607  <$&C$
0x8013BCA9   B0-
0x8013D8CA  k%!(K
0x80140B46  B$! 
0x80140CCA  B$! 
0x801416FA  d$!(
0x80141CBA  b$! 
0x80141DE1  'B$,
0x80141E26  b$! 
0x80142039  ,B,C
0x80142491  'D$ 
0x80142968  VUc4
0x80143431  ,B,p
0x80144F66  p&! 
0x80144FF6  p&! 
0x8014519E  P&! 
0x801452AE  P&! 
0x8014536A  P&! 
0x80145402  P&! 
0x80145546  0&! 
0x801456B6  0&! 
0x8014577A  0&! 
0x80145902  0&! 
0x801459E6  0&! 
0x80145B46  0&! 
0x80145CAA  0&! 
0x8014680E  0&! 
0x8014696E  0&! 
0x80146AD6  0&! 
0x80146C3E  0&! 
0x80146DA6  0&! 
0x80146F92  0&! 
0x80147056  0&! 
0x801470C6  0&! 
0x801471EE  0&! 
0x80147386  0&! 
0x801474A2  0&! 
0x801476D2  0&! 
0x80147817  <H-c$
0x80147842  0&! 
0x80147976  0&! 
0x80147AFA  0&! 
0x80148046  0&! 
0x801481D7  $! `
0x801483BE  0&! 
0x801484E2  0&! 
0x80148632  0&! 
0x801488BA  0&! 
0x801489C2  0&! 
0x80148A72  R$! 
0x80148A96  0&! 
0x80148B4E  R$! 
0x80148B72  0&! 
0x80148C32  0&! 
0x80148D3A  0&! 
0x8014904A  0&! 
0x801492E2  R$! 
0x80149306  0&! 
0x801493C6  0&! 
0x801494CE  0&! 
0x801497E2  0&! 
0x80149A7A  R$! 
0x80149A9E  0&! 
0x80149B5E  0&! 
0x80149C62  0&! 
0x80149F76  0&! 
0x8014A20E  R$! 
0x8014A232  0&! 
0x8014A2F2  0&! 
0x8014A3F6  0&! 
0x8014A4C6  0&! 
0x8014A61E  0&! 
0x8014A732  0&! 
0x8014A8CB  <|-T$! `
0x8014AAEE  0&! 
0x8014ABE6  0&! 
0x8014AD16  0&! 
0x8014B40A  0&! 
0x8014BA3A  0&! 
0x8014BB42  0&! 
0x8014C1AA  0&! 
0x8014C326  0&! 
0x8014C41E  0&! 
0x8014CA96  P&! 
0x8014CB72  P&! 
0x8014CC6A  P&! 
0x8014CE0A  P&! 
0x8014CF26  P&! 
0x8014D0D7  $! `
0x8014D692  P&! 
0x8014D826  0&! 
0x8014D98A  0&! 
0x8014EC30  h"c$
0x8014EEB7  <h"E$
0x8014F177  0%0C
0x8014F23C  t"P$
0x8014F407  <h"B$
0x8014F510  h"c$
0x8014F608  h"c$
0x8014FF5B  <! @
0x80150064  D.e$
0x80150503  0!@@
0x80150AB9  MF$1
0x80150C22  c$!@
0x80150C7A  I$!`
0x80150DBE  c$!@
0x80150E16  J$!h
0x80151B66  B$! `
0x801523C3  <P$B$
0x8015279B  <0')%
0x8015280F  <D')%
0x80153E6F  '!(@
0x80153ED3  '!(@
0x80155B9A  0&! 
0x80155C66  0&! 
0x8015A52F  $$PA
0x8015A5C7  $$PA
0x8015BE46  B$!x@
0x8015C219  mc$$
0x8015C355  mc$ 
0x8015C491  mc$$
0x8015CA33  <hpc$
0x8015CA9F  <hpc$
0x8015D637  <hpB$
0x8015DE67  <ip1& 
0x8015E077  '! @
0x8015EDF7  $!(@
0x8015F0B9  p1& 
0x80160603  <Hr1&$
0x80164BFB  0!0d
0x801673B2  R&! 
0x8016828A  b1!@
0x80168B6F  $!(@
0x801693FA  E$!(
0x80169E3E  h$!P`
0x80169EBB  $!0@
0x8016A452  "%!H@
0x8016ADDA  c$! 
0x8016BA9B  <!(`
0x8016BD87  4! @
0x8016C453  4!(@
0x8016C4DF  4!(`
0x8016DD9A  B$!8b
0x8016DE5B  $! @
0x8016F405   "2+
0x8017122B  !#"$%
0x80171234  !"$%
0x8017124F  !#"$%
0x80171258  !"$%&
0x80171297  )'(*+%
0x801712A0  '(*+%
0x801712BB  )'(*+%,
0x801712C4  '(*+%
0x80171303  !"-.$/
0x8017130C  !"-.$
0x80171327  !"-.$/
0x80171330  !"-.$
0x8017135D  31452
0x80171C9C  %&./78@AIJRSd
0x80172234  &H+!(
0x801736E9  %!$*&
0x8017370B  %"+),
0x80173737  4"5+2
0x80173748  '?2>
0x801737A5  2#4-5
0x801737D2  D,K.
0x8017407A  %#$"!
0x8017408B  )(+*'<;9:786
0x80174098  /$.-"!
0x801740A0  254130
0x801740E4  d`ZXTNH<2
0x801749D1  "*)(#1
0x80175352  i@Q(
0x80175552  d@7W$$
0x80175572  h@.m&&
0x80175653  DHxEE
0x801756F2  t2<z66
0x80175712  P@2m44
0x80175732  _@.m((
0x80178372  l@8P
0x80178D52  ]@/0
0x80178F52  S@/0
0x80179172  U@/0
0x8017A352  U@Fx
0x8017A552  U@Fx
0x80180995  _pBAV 
0x801809F8  .".3.
0x80180A18  >!>2>C>
0x80180A38  N N1NBNSN
0x80180A5A  ^0^A^R^c^
0x80180A7A  n/n@nQnbnsn
0x80180C42  pBAV 
0x80180CC5  >!>2>
0x80180CE5  N N1NBN
0x80180D07  ^0^A^R^
0x80180D27  n/n@nQnbn
0x80180D47  ~.~?~P~a~r~
0x80180EF2  pBAV 
0x80180F75  >!>2>
0x80180F95  N N1NBN
0x80180FB7  ^0^A^R^
0x80180FD7  n/n@nQnbn
0x80180FF7  ~.~?~P~a~r~
0x801811A2  pBAV 
0x80181225  >!>2>
0x80181245  N N1NBN
0x80181267  ^0^A^R^
0x80181287  n/n@nQnbn
0x801812A7  ~.~?~P~a~r~
0x80181452  pBAV 
0x801814D5  >!>2>
0x801814F5  N N1NBN
0x80181517  ^0^A^R^
0x80181537  n/n@nQnbn
0x80181557  ~.~?~P~a~r~
0x80181702  pBAV 
0x801817A6  N N1N
0x801817C8  ^0^A^
0x801817E8  n/n@nQn
0x80181808  ~.~?~P~a~
0x801819B2  pBAV 
0x80181A35  >!>2>
0x80181A55  N N1NBN
0x80181A77  ^0^A^R^
0x80181A97  n/n@nQnbn
0x80181AB7  ~.~?~P~a~r~
0x80181C62  pBAV 
0x80181CE5  >!>2>
0x80181D05  N N1NBN
0x80181D27  ^0^A^R^
0x80181D47  n/n@nQnbn
0x80181D67  ~.~?~P~a~r~
0x80181F74  .".3.
0x80181F94  >!>2>C>
0x80181FB4  N N1NBNSN
0x80181FD6  ^0^A^R^c^
0x80181FF6  n/n@nQnbnsn
0x801821C2  pBAV 
0x80182245  >!>2>
0x80182265  N N1NBN
0x80182287  ^0^A^R^
0x801822A7  n/n@nQnbn
0x801822C7  ~.~?~P~a~r~
0x80182472  pBAV 
0x801824F5  >">3>
0x80182515  N!N2NCN
0x80182535  ^ ^1^B^S^
0x80182557  n0nAnRncn
0x80182577  ~/~@~Q~b~s~
0x801826DA  pBAV 
0x8018275D  >">3>
0x8018277D  N!N2NCN
0x8018279D  ^ ^1^B^S^
0x801827BF  n0nAnRncn
0x801827DF  ~/~@~Q~b~s~
0x80182942  pBAV 
0x801829C5  >">3>
0x801829E5  N!N2NCN
0x80182A05  ^ ^1^B^S^
0x80182A27  n0nAnRncn
0x80182A47  ~/~@~Q~b~s~
0x80182C0C  .#.4.
0x80182C2C  >">3>D>
0x80182C4C  N!N2NCNTN
0x80182C6C  ^ ^1^B^S^d^
0x80182C8E  n0nAnRncntn
0x80182E12  pBAV 
0x80182E95  >">3>
0x80182EB5  N!N2NCN
0x80182ED5  ^ ^1^B^S^
0x80182EF7  n0nAnRncn
0x80182F17  ~/~@~Q~b~s~
0x8018307A  pBAV 
0x801830FD  >">3>
0x8018311D  N!N2NCN
0x8018313D  ^ ^1^B^S^
0x8018315F  n0nAnRncn
0x8018317F  ~/~@~Q~b~s~
0x801832E2  pBAV 
0x80183365  >">3>
0x80183385  N!N2NCN
0x801833A5  ^ ^1^B^S^
0x801833C7  n0nAnRncn
0x801833E7  ~/~@~Q~b~s~
0x80183684  pQES
0x80183F08  pQES
0x80183F2C  pQES
0x80183F80  pQES
0x80183FF4  pQES
0x801840C4  pQES
0x80184140  pQES
0x8018421C  pQES
0x80184240  pQES
0x80184264  pQES
0x80184298  pQES
0x8018430C  pQES
0x801843B0  pQES
0x801844D0  pQES
0x801847B8  pQES
0x801848A4  pQES
0x801848CA  (/ (
0x80184939  (59(
0x801849E0  pQES
0x80184A50  pQES
0x80184A90  pQES
0x80184C1C  pQES
0x80184E68  pQES
0x80184E94  pQES
0x80184EEC  pQES
0x80184F10  (<&(
0x80184F16  (2&(
0x80184F28  pQES
0x80184F74  pQES
0x80184F98  pQES
0x801850AC  pQES
0x80185140  pQES
0x801851B0  pQES
0x801851E8  pQES
0x80185210  pQES
0x8018549C  pQES
0x80185560  pQES
0x801855B4  pQES
0x801855E4  pQES
0x8018562C  pQES
0x80185644  Fn<F
0x80185650  pQES
0x801856A8  pQES
0x801856FC  pQES
